word,id,bow_freq
kesini,356,70
alam,355,70
gratis biaya,,69
tari,359,69
overal,362,69
shopepay,360,69
produk,361,69
kartu fisik,,69
bantu mudah,,69
hadeh,365,68
cash,371,68
masuk masuk,,68
it,367,68
tuju,368,68
tim,369,68
kualitas,363,68
jaya,364,68
mah,370,68
buang,366,68
teman,375,67
dikit,374,67
apknya,376,67
close,379,67
pagi,380,67
gara,372,67
tunai kena,,67
deteksi,381,67
muda,377,67
neng,373,67
urus,378,67
bayar pakai,,66
takut,384,66
kode referal,,66
ram,382,66
auto,385,66
rugi,383,66
urgent,386,65
berat banget,,65
mati,388,65
gagal mulu,,65
buru,387,65
hati,391,64
bi,392,64
gila,390,64
developer,389,64
shope,393,64
kl,396,63
milik,395,63
notif,394,63
tangal,397,63
donk,399,62
makan,398,62
cari,400,62
cepat mudah,,61
admin bulan,,61
info,401,61
make,404,61
utama,402,61
narik,403,61
fitur bagus,,61
love,407,60
listrik,412,60
verifikasi muka,,60
isi saldo,,60
friendly,409,60
device,408,60
kantor,410,60
kesel,405,60
blusaving,406,60
delay,411,60
banget aplikasi,,59
pakai qris,,59
bantu banget,,59
aktif scren,,59
responsif,415,59
serba,417,59
daftar susah,,59
pas masuk,,59
kali kali,,59
juta,416,59
sandi,414,59
far,413,59
mudah pakai,,58
so far,,58
ribu,420,58
proses cepat,,58
liat,422,58
knpa,421,58
handphone,423,58
jelas,419,58
aj,418,58
bi fast,,58
adm,425,57
normal,427,57
transfer gratis,,57
ful,424,57
malam,430,57
lebih,429,57
walet,428,57
is,426,57
iya,431,57
vidio,435,56
masak,437,56
service,438,56
mahal,433,56
transaksi cepat,,56
paket,432,56
nominal,434,56
rekomendasi,436,56
tambah fitur,,56
laku,444,55
nyambung,439,55
bnget,441,55
smoth,442,55
rumah,443,55
minimal,440,55
mohon bantu,,55
mbca,445,54
pakai wifi,,54
bagus transaksi,,54
transaksi gagal,,54
banget masuk,,53
asli,449,53
vermuk,450,53
tolol,448,53
capek,447,53
ad,453,52
malu,455,52
limit,454,52
hehe,452,52
banget transaksi,,52
selfie,451,52
gmna,456,52
kini,462,51
ken,459,51
you,460,51
sinyal bagus,,51
banding,461,51
verifikasi email,,51
csnya,457,51
bagus pokok,,51
tolong bantu,,51
mesti,463,51
ikut,458,51
kembali,470,50
mesin,465,50
atur uang,,50
atas,469,50
rp,468,50
ngak,466,50
dri,464,50
wajah susah,,50
ka,472,49
kasi,478,49
bifast,471,49
fungsi,477,49
hapy,476,49
reset pasword,,49
gabisa masuk,,49
smoga,475,49
penuh,473,49
bos,474,49
ayo,479,48
slalu,480,48
transaksi apa,,48
milenial,484,48
sms,481,48
an,483,48
bayar qris,,48
setor tarik,,48
paksa,482,48
banget mudah,,47
banget sih,,47
pribadi,490,47
atm kena,,47
adain,491,47
angkat,488,47
out,487,47
ragu,486,47
seabank,489,47
vidio cal,,47
bagus aplikasi,,47
layar,485,47
lanjut,498,46
mata,493,46
mudah paham,,46
otomatis,497,46
masuk kode,,46
bnyak,496,46
diupdate,494,46
aktivasi,492,46
cantik,495,46
susah ampun,,45
detik,505,45
pas vc,,45
hidup,502,45
pakai blue,,45
heran,507,45
nik,499,45
server,510,45
hapus data,,45
nyangkut,508,45
easy,500,45
haloblu,506,45
tgl,509,45
ujung,501,45
fasilitas,503,45
asik,511,45
