word,bow_freq,bow_rank,tfidf_avg,tfidf_rank,rank_diff
bagus cepat,45,618,0.0011401253635745048,393,225
transfer kena,45,619,0.0007101485682955824,629,-10
kacau,45,620,0.0007723365226605911,584,36
mudah guna,45,621,0.0010519377304300166,429,192
eror mulu,44,622,0.0008579159086444279,517,105
to,44,623,0.0008174771050148685,548,75
ektp,44,624,0.0006770990869991746,653,-29
sidik,44,625,0.0005922767465320451,745,-120
erti,44,626,0.0008365814615652313,537,89
tombol,44,627,0.0006136415869042178,723,-96
kredit,44,628,0.0007435191574146634,607,21
transaksi pakai,44,629,0.000641459744648715,693,-64
merchant,44,630,0.0006060891159251683,729,-99
keluar,44,631,0.0007780864561687521,580,51
user friendly,44,632,0.0007812031225898257,575,57
anak muda,44,633,0.0006458137265823561,687,-54
saldo masuk,44,634,0.0005521755315244199,794,-160
cangih,44,635,0.0008685264392412076,508,127
gb,44,636,0.0006117888303694463,724,-88
gede,44,637,0.0006402591421726672,696,-59
keluh,44,638,0.0006101765579037156,725,-87
notifikasi,44,639,0.0006449185141358847,688,-49
kocak,44,640,0.0007147571667397369,626,14
jujur,44,641,0.0005622805676158386,782,-141
tangap,44,642,0.0006781593087029606,650,-8
lemot,44,643,0.001019330559373494,439,204
wow,44,644,0.0011225324356368197,399,245
lambat buruk,44,645,0.000814949751862688,551,94
maintenance,44,646,0.0008542644129922746,521,125
wajib,44,647,0.0007600124146629967,594,53
ah,44,648,0.0007748230405397711,582,66
investasi,43,649,0.0007596102819990145,595,54
tangan,43,650,0.0007045430974679235,633,17
jago,43,651,0.0006483235107215141,685,-34
jari,43,652,0.0005909926359706742,747,-95
cabang,43,653,0.000635527770256642,702,-49
mending pakai,43,654,0.0006138392511480871,722,-68
tipu,43,655,0.0006499721126744152,680,-25
tlp,43,656,0.0005102192080329316,857,-201
situ,43,657,0.0005944457182681375,741,-84
buka rek,43,658,0.000651435925184666,677,-19
token,43,659,0.0006769026452724426,654,5
jt,43,660,0.0005327817384354585,821,-161
jga,42,661,0.0006444448992921555,689,-28
force,42,662,0.0006155221978287137,719,-57
bagus moga,42,663,0.0009231517790427104,476,187
bisnis,42,664,0.0006712285936603263,662,2
nungu jam,42,665,0.0005333084176054095,818,-153
wa,42,666,0.0004885386005564463,881,-215
lancar jaya,41,667,0.000803220858908508,562,105
kunci,41,668,0.000558992051160659,786,-118
pakai ribet,41,669,0.0007870526145919862,571,98
beli pulsa,41,670,0.000565944580780931,774,-104
bagus suka,41,671,0.0010521069425829964,428,243
ilang,41,672,0.000614921111743037,720,-48
inovasi,41,673,0.0007306866865509944,617,56
indonesia,41,674,0.0006668559285038329,665,9
dompet,41,675,0.0006918805828400155,639,36
event,41,676,0.0006485068300270819,684,-8
and,40,677,0.0008057887180593387,558,119
ulas,40,678,0.0005058453176201714,863,-185
bikin akun,40,679,0.0005996451574240208,737,-58
langkah,40,680,0.0006632555568134474,668,12
emosi,40,681,0.000565159419376945,777,-96
bikin rekening,40,682,0.0005847828075346682,754,-72
baik sistem,40,683,0.0005220569747687971,836,-153
mudah praktis,40,684,0.0009524703580752675,465,219
segi,40,685,0.0005552162929805483,788,-103
pakai kartu,40,686,0.0005176359411825382,843,-157
force close,40,687,0.0005785028105396015,759,-72
uang masuk,40,688,0.0005041418022134128,866,-178
bagus nih,40,689,0.0009225528703076583,477,212
nomor hp,40,690,0.0005721875488659635,768,-78
transaksi lancar,40,691,0.0008127707812807816,552,139
trimakasih,40,692,0.0007587279529276316,597,95
opsi,40,693,0.0005467304484922524,802,-109
gelap,40,694,0.0005979474093585787,739,-45
lbh,39,695,0.0006925306913698547,637,58
daftar ribet,39,696,0.0006846723674520644,646,50
satset,39,697,0.0006717514494052186,661,36
sesi habis,39,698,0.0005874613568253804,752,-54
sidik jari,39,699,0.0005226202463634414,835,-136
status,39,700,0.0005175737764018931,844,-144
baru baru,39,701,0.0005929429292512259,744,-43
tolong tambah,39,702,0.0006208921820087916,715,-13
transfer uang,39,703,0.0005819398310536382,757,-54
apnya,39,704,0.0005933405260593301,743,-39
very,39,705,0.001076968354021529,420,285
aja,39,706,0.0005775220831573724,763,-57
telepon,39,707,0.0005391747707748015,808,-101
yuk,39,708,0.0006492223720459484,682,26
pakai transaksi,39,709,0.00058537278586169,753,-44
halaman,39,710,0.0005241365829498696,833,-123
money,39,711,0.0005818810613611729,758,-47
gampang banget,39,712,0.0006143652519573966,721,-9
ngantri,39,713,0.0006058780526269926,730,-17
hadap,39,714,0.00044878657742428597,943,-229
mybca,39,715,0.0005690828220308622,771,-56
pas buka,39,716,0.0005371390301295579,812,-96
kah,39,717,0.000710283396568594,628,89
ok bagus,39,718,0.0011380559511240706,395,323
my,38,719,0.0006008455966008861,736,-17
lot,38,720,0.0005889975538447612,749,-29
bagus pakai,38,721,0.0007825267981926911,574,147
mo,38,722,0.0005373610339565306,811,-89
jenis,38,723,0.0006042125641766268,733,-10
nyaman pakai,38,724,0.0007207549518779825,621,103
kirain,38,725,0.0006256585406305767,712,13
jaman,38,726,0.0006403693746116069,694,32
banget deh,38,727,0.0005774694393487777,764,-37
murah,38,728,0.0007508146624502565,600,128
undang,38,729,0.0006870192368852643,642,87
cal cs,38,730,0.0005037321581916495,867,-137
nya,38,731,0.0006384990551774901,697,34
gabisa buka,38,732,0.0006905962895968651,640,92
nomor rekening,38,733,0.0005156946196328634,848,-115
syariah,38,734,0.0006612675082242836,670,64
puas banget,38,735,0.0008656536935477304,511,224
ama,38,736,0.0005504484987556552,795,-59
pikir,38,737,0.0005235618572335141,834,-97
ngasih,38,738,0.0005495696071666959,796,-58
semenjak,38,739,0.0006358132803289146,701,38
aju pinjam,38,740,0.000641615435937497,691,49
optimalisasi,37,741,0.0005746559450196309,766,-25
banget buka,37,742,0.000567843357183491,772,-30
suka pakai,37,743,0.0007073578971896499,631,112
coba kali,37,744,0.00048089305940203893,893,-149
sma,37,745,0.000589336537116422,748,-3
bolak,37,746,0.0005081767789343101,858,-112
mudah bagus,37,747,0.0007615588694460935,591,156
transaksi transfer,37,748,0.0005783309713075726,760,-12
temen,37,749,0.0005368493160464014,813,-64
kiri,37,750,0.0004565717879247833,929,-179
plis,37,751,0.0006525913540618788,676,75
aq,37,752,0.0005329044338074222,819,-67
aplikasi mudah,37,753,0.0007003362221806127,635,118
benerin,37,754,0.0005627090015573807,780,-26
up emoney,37,755,0.0004869277517209925,882,-127
brp,37,756,0.00047312558148309125,904,-148
upload,37,757,0.0005777574412441727,762,-5
banget daftar,36,758,0.0005703376647820152,769,-11
selfi,36,759,0.0006512997389289065,678,81
banget verifikasi,36,760,0.0005464433761190956,803,-43
banyakin,36,761,0.0008567735339715854,519,242
tambahin fitur,36,762,0.0005615980169656437,783,-21
banget nih,36,763,0.0005328474614226985,820,-57
gtu,36,764,0.0004456988416728289,947,-183
bebas admin,36,765,0.0005697874785554628,770,-5
kanan,36,766,0.00042763038233814657,963,-197
apl,36,767,0.0006808750336704776,648,119
administrasi,36,768,0.0006478586160690799,686,82
lupa pasword,36,769,0.0005278775577377306,825,-56
perangkat,36,770,0.0006352840748585594,704,66
kyc,36,771,0.0006546484473795066,674,97
proses daftar,36,772,0.000516787733862756,845,-73
konfirmasi,36,773,0.0005550589974872086,789,-16
pdhal,36,774,0.0005108968883011987,856,-82
pay,36,775,0.0004960299364680961,875,-100
nungu antri,36,776,0.00047693538274828283,896,-120
komplain,36,777,0.000464635577809179,917,-140
rating,36,778,0.0005532674294692342,792,-14
tunai kartu,36,779,0.0004925808673385613,876,-97
buka aplikasi,36,780,0.0006192239377234585,717,63
transfer rekening,36,781,0.0005197095468155269,840,-59
mesin atm,36,782,0.00038160234211946387,984,-202
suport,35,783,0.0005217020899145943,837,-54
bagus deh,35,784,0.0007629618492473525,590,194
fitur bayar,35,785,0.0006057032507185047,731,54
mudah aman,35,786,0.000745310389936474,605,181
ngebantu,35,787,0.0007308466094024853,616,171
simpan uang,35,788,0.0005673935196166321,773,15
daftar mudah,35,789,0.0005936155463662927,742,47
bukti,35,790,0.0004753366276894718,898,-108
mantab,35,791,0.0011807620362961314,378,413
debit fisik,35,792,0.0005525640537385132,793,-1
fiturfitur,35,793,0.0005779008448956596,761,32
siang,34,794,0.00045713308554706555,928,-134
buka akun,34,795,0.000525462822825885,828,-33
nga,34,796,0.0005838681958184697,756,40
buka tabung,34,797,0.00050586370802951,862,-65
susah verifikasi,34,798,0.0006249346671293527,714,84
simple mudah,34,799,0.0007230770733367086,619,180
iklan,34,800,0.000532777392064686,822,-22
byk,34,801,0.0006608719961330781,671,130
pakai mudah,34,802,0.000730181588668144,618,184
lah,34,803,0.0006177647505367949,718,85
pemberitahuan,34,804,0.000513950149163341,851,-47
efisien,34,805,0.0006730695286646231,656,149
upgrade,34,806,0.0006729205411676321,658,148
khusus,34,807,0.00048519055285230347,884,-77
bagus dah,34,808,0.0008484954263765464,526,282
tu,34,809,0.00043206081177945893,960,-151
no rekening,34,810,0.0005012079000022275,869,-59
otp masuk,34,811,0.0005246447682966178,830,-19
bagus lambat,33,812,0.0007432239263500184,608,204
moga sukses,33,813,0.0007439404286511715,606,207
tagih,33,814,0.000517718632222741,842,-28
amanah,33,815,0.0007608314579235294,592,223
mw,33,816,0.000502347079630687,868,-52
main,33,817,0.0005111590728728151,855,-38
nge,33,818,0.0005166958279647676,846,-28
neng banget,33,819,0.0005442830366267314,804,15
ajar,33,820,0.0005561467940229614,787,33
videocal,33,821,0.00054783184287827,797,24
bawa,33,822,0.0005126542691428984,853,-31
lucu,33,823,0.00044873638922206634,944,-121
log out,33,824,0.0004413300054589434,950,-126
mohon maf,33,825,0.0004733205042855829,903,-78
is the,33,826,0.0006355153091221596,703,123
dn,33,827,0.000573449789038713,767,60
hubung cs,33,828,0.00041101746988623616,973,-145
dana masuk,33,829,0.00044114550493979635,951,-122
pos,33,830,0.0004535024372562958,935,-105
rekening mudah,33,831,0.0005380545476456803,809,22
sekian,33,832,0.00044653937102386715,945,-113
dalam,33,833,0.000514780848493208,850,-17
pakai kode,32,834,0.00047457974431646327,900,-66
lumayan bagus,32,835,0.0007421042824264181,609,226
minus,32,836,0.0004989467453854963,870,-34
android,32,837,0.0005593626960019111,785,52
isi data,32,838,0.00043956166481755717,954,-116
deposit,32,839,0.0005262684611895711,827,12
kyk,32,840,0.0004300198480630527,962,-122
sesuai butuh,32,841,0.0005062127672117524,861,-20
andal,32,842,0.0006543695913589871,675,167
antre,32,843,0.0004975059016516477,872,-29
ambil uang,32,844,0.00046713929820169276,912,-68
thank,32,845,0.0005615072960186003,784,61
aktifin,32,846,0.000540314520130579,807,39
konvensional,32,847,0.00048095101493472655,892,-45
puluh,32,848,0.00044651258321744914,946,-98
jamin,32,849,0.0004904980130375355,878,-29
cepet banget,32,850,0.000504901278528262,864,-14
aman nyaman,32,851,0.0006193685190124215,716,135
nunguin,32,852,0.0005042612815507693,865,-13
suruh nungu,32,853,0.0004441073548580571,948,-95
masuk tolong,32,854,0.0005070937028660836,860,-6
pisah,32,855,0.00046967156815910663,908,-53
sunguh,32,856,0.0005651599018104226,776,80
neo,32,857,0.000484066222878057,886,-29
bom,32,858,0.0005376144889230321,810,48
masukin kode,32,859,0.0004572463902434776,927,-68
beres,32,860,0.0005211036031056139,838,22
tunai setor,32,861,0.0003370579931734261,1000,-139
bad,32,862,0.0006750696958978757,655,207
blu,32,863,0.0006427339686855587,690,173
masuk verifikasi,31,864,0.0004601766679025738,924,-60
baharu,31,865,0.0005202033029934559,839,26
mudah proses,31,866,0.0005978826012856346,740,126
paket data,31,867,0.0003509010732886738,996,-129
mudah bantu,31,868,0.0007984535458698658,565,303
transaksi bagus,31,869,0.0005772267866450233,765,104
ampe,31,870,0.0004789726596424916,895,-25
pakek,31,871,0.0005438900343903506,805,66
cinta,31,872,0.0006087061398467048,727,145
rekomended,31,873,0.000667741368324466,664,209
sabar,31,874,0.00046747683766308373,911,-37
parah,31,875,0.0005838752739931337,755,120
ulang kali,31,876,0.0003967531350975746,977,-101
bagus cuman,31,877,0.0005341450709500474,816,61
kecewa banget,31,878,0.0004136939603653277,971,-93
mntap,31,879,0.0011828457860238702,377,502
cepat transaksi,31,880,0.0007004810776804889,634,246
sebenernya,31,881,0.0004375682083854479,957,-76
lambat berat,31,882,0.0005467741277939977,801,81
sempurna,31,883,0.0006380403174143981,698,185
haduh,31,884,0.0004888758194246911,880,4
face,31,885,0.0005335015518635973,817,68
lambat lambat,31,886,0.00041570993952709295,970,-84
alah,31,887,0.0005362666535392527,814,73
cape,31,888,0.0005148959604212613,849,39
stuck,31,889,0.0005649366890172099,778,111
enak banget,31,890,0.0005185045784167477,841,49
pencet,31,891,0.0005165430362317099,847,44
bgus,31,892,0.0008885365886740746,497,395
customer service,30,893,0.00038423799100637787,981,-88
kode verifikasi,30,894,0.0004542332433103149,934,-40
fitur tarik,30,895,0.0004815486738381295,891,4
berat lambat,30,896,0.0004982836503855751,871,25
dapat,30,897,0.0005473228237663396,800,97
transaksi online,30,898,0.00046267723739778875,922,-24
fitur lengkap,30,899,0.0005245261786669677,831,68
center,30,900,0.0003678146702374203,991,-91
transaksi uang,30,901,0.0005128807052346396,852,49
shope pay,30,902,0.00037383849615824994,989,-87
hm,30,903,0.0004703611693773286,907,-4
blibli,30,904,0.0005356219764823236,815,89
ngerti,30,905,0.00048156293715028256,890,15
tunai biaya,30,906,0.00039665170769571554,978,-72
mode,30,907,0.000486833357559712,883,24
debit card,30,908,0.0004024957522962013,976,-68
nanya,30,909,0.0004633914503162167,920,-11
diskon,30,910,0.0006595540364526768,672,238
baik aplikasi,30,911,0.0004609194567204541,923,-12
pas daftar,30,912,0.0004664026279184125,913,-1
use,30,913,0.0006561260041835824,673,240
tangung,30,914,0.0005318834976367816,823,91
cs ramah,30,915,0.0005265463139496201,826,89
jadi,30,916,0.0004630247032301135,921,-5
vidcal,30,917,0.0005073010737496947,859,58
koneksi putus,30,918,0.0004973427502938783,874,44
cair,30,919,0.0004717463478225559,905,14
gaji,30,920,0.0004031985787084542,975,-55
pending,30,921,0.0005636708565882447,779,142
masuk saldo,30,922,0.0004196786094351982,968,-46
koneksi internet,30,923,0.00045119681710764414,940,-17
pakai biaya,30,924,0.00046607080390032295,914,10
tunai pakai,29,925,0.00039380077639627917,979,-54
fix,29,926,0.00043254041254874113,959,-33
warna,29,927,0.00046853646303517425,909,18
lama,29,928,0.0005652058735908321,775,153
verifikasi data,29,929,0.0004371850696813722,958,-29
vc cs,29,930,0.0004300797796803256,961,-31
layan bagus,29,931,0.0006302039951185439,708,223
alami,29,932,0.00038285570786917124,983,-51
lho,29,933,0.0004232910921230064,966,-33
fre biaya,29,934,0.000366803506649642,992,-58
aduh,29,935,0.0004907755651334717,877,58
rencana,29,936,0.00047438777058013903,901,35
pakai bagus,29,937,0.0005536927848832507,790,147
henti,29,938,0.0005247469366027969,829,109
request,29,939,0.0004172138528458873,969,-30
banget bantu,29,940,0.0005622824601399645,781,159
scan qris,29,941,0.00043952982703084943,955,-14
nambah,29,942,0.00045151954757065857,939,3
bagus simple,29,943,0.0006864819274198251,644,299
code,29,944,0.0004516993021939249,938,6
busuk,29,945,0.000547529753110502,799,146
moga baik,29,946,0.0004739720246766157,902,44
kaum,29,947,0.0004491610876936536,941,6
berkalikali,29,948,0.0004422009767370443,949,-1
tarik uang,29,949,0.0004646035605678938,918,31
kaya gin,29,950,0.00038640887699754856,980,-30
ngulang,29,951,0.0004230907890536494,967,-16
kelar,29,952,0.00045800802236847435,926,26
silah,29,953,0.00046780057446931103,910,43
melulu,29,954,0.0005478075278619756,798,156
responya,29,955,0.00045274053843402364,937,18
biaya adminya,29,956,0.0004117665218523577,972,-16
lambat masuk,28,957,0.00047941155228066956,894,63
verivikasi,28,958,0.0005432257259190642,806,152
mutasi,28,959,0.0004378192273601688,956,3
cal center,28,960,0.0003426660854158876,998,-38
langan,28,961,0.00045506605594774926,931,30
biaya adm,28,962,0.00040749250043422614,974,-12
barcode,28,963,0.0004816577330533398,889,74
nyimpen,28,964,0.0004894991398738607,879,85
bye,28,965,0.0004395677395375999,953,12
fast respon,28,966,0.00045647551537979166,930,36
gimna,28,967,0.00048321892851658604,888,79
sibuk,28,968,0.000359735564070509,995,-27
please,28,969,0.00044042657536228294,952,17
cahaya,28,970,0.0003802082264200182,985,-15
masuk pakai,28,971,0.0004545781528889042,932,39
cmn,28,972,0.0004973851447946786,873,99
sambung putus,28,973,0.00046016720670007246,925,48
masuk ulang,28,974,0.0003468118244888735,997,-23
daftar pas,28,975,0.0004251477412451643,965,10
kirim uang,28,976,0.0004761739102685933,897,79
bagi,28,977,0.0005111717106001316,854,123
kluar,28,978,0.00046476028862886824,916,62
instal ulang,28,979,0.0003831040465940385,982,-3
contoh,28,980,0.00037849372575714886,987,-7
kali coba,28,981,0.0003729393160038224,990,-9
dh,28,982,0.0004545207418504475,933,49
alamat,28,983,0.0003644314723812499,993,-10
blum,28,984,0.0004835130568020514,887,97
chat,28,985,0.0003632587929511733,994,-9
tibatiba,28,986,0.00044893575847009594,942,44
thank you,28,987,0.0004746166080337584,899,88
sangat,28,988,0.0007654863442401493,588,400
banget bikin,28,989,0.0004705221767317546,906,83
telfon,28,990,0.000379333455865994,986,4
seru,27,991,0.000604956723469842,732,259
selamat,27,992,0.00046362093688839443,919,73
tolong hapus,27,993,0.0003776190607705207,988,5
daftar gagal,27,994,0.0004847679051788813,885,109
mas,27,995,0.00046565220440133325,915,80
mudah ribet,27,996,0.0006037878070001811,734,262
proses verifikasi,27,997,0.00042761265925598694,964,33
ngebug,27,998,0.0005243916919663055,832,166
tarik setor,27,999,0.00034169587002076907,999,0
malas,27,1000,0.0004528277194570978,936,64
